id,Original,Translate
1,"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","La navicella del mio ingegno, ormai, alza le vele per percorrere acque migliori e lascia dietro di sé il mare crudele dell'Inferno"
2," e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno",e io canterò di quel secondo regno  in cui l'anima umana si purifica e diventa degna di salire al cielo
3," Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Ma qui la poesia morta risorga, o sante Muse, dal momento che sono consacrato a voi"
4," e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono"," e qui si sollevi alquanto Calliope, assistendo il mio canto con quel suono di cui le misere gazze  sentirono un tale colpo che disperarono di essere perdonate"
5," Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Un dolce colore di zaffiro orientale, che si raccoglieva nell'aspetto sereno dell'aria pura fino all'orizzonte, "
6," a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","restituì gioia ai miei occhi non appena io uscii fuori dall'aria morta , che mi aveva rattristato gli occhi e il cuore"
7," Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","Il bel pianeta  che spinge ad amare illuminava gioiosamente tutto l'oriente, offuscando con la sua luce la costellazione dei Pesci che lo seguiva"
8," I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Io mi rivolsi alla mia destra e osservai il cielo australe, vedendo quattro stelle che nessuno ha mai visto eccetto i primi progenitori "
9," Goder pareva ’l ciel di lor fiammelle",Il cielo sembrava godere della loro luce
10," oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle"," o emisfero boreale, sei davvero desolato non potendo ammirare quelle stelle"
11," Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Non appena ebbi distolto il mio sguardo da esse, volgendomi un poco al cielo boreale da dove ormai l'Orsa Maggiore era tramontata,"
12," vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","vidi accanto a me un vecchio solitario, che a guardarlo ispirava tanto rispetto quanto è quello che un figlio deve al proprio padre"
13," Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Portava la barba lunga e con peli bianchi e neri, simile ai suoi capelli, dei quali ricadevano sul petto due lunghe trecce"
14," Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","La luce delle quattro stelle sante illuminava il suo volto, al punto che io lo vedevo come se avesse avuto il sole di fronte"
15," «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","«Chi siete voi, che risalendo il fiume sotterraneo siete fuggiti dalla prigione eterna?"
16," diss’ el, movendo quelle oneste piume","Egli ci disse, muovendo quella barba dignitosa"
17," «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Chi vi ha guidati e cosa vi ha indicato la strada, uscendo fuori dalla notte profonda che rende sempre oscura la voragine infernale?"
18," Son le leggi d’abisso così rotte? ","Le leggi dell'abisso sono così prive di valore? "
19," o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","o in Cielo è stata emanata una nuova legge in base alla quale voi, dannati, venite alle rocce  che io custodisco?»"
